Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,10721.160156,10742.860352,10591.059570,10591.059570,10591.059570,70159400
2021-02-01,10666.160156,10751.660156,10650.639648,10740.219727,10740.219727,46901200
2021-02-02,10755.910156,10857.049805,10748.900391,10803.570313,10803.570313,51701500
2021-02-03,10866.509766,10887.509766,10762.830078,10775.679688,10775.679688,46200500
2021-02-04,10739.200195,10866.629883,10731.679688,10860.950195,10860.950195,53655400
2021-02-05,10855.599609,10857.000000,10745.030273,10755.469727,10755.469727,43441300
2021-02-08,10803.969727,10844.110352,10778.830078,10778.830078,10778.830078,44225100
2021-02-09,10757.139648,10817.709961,10735.160156,10803.669922,10803.669922,40861800
2021-02-10,10818.139648,10900.110352,10774.940430,10825.750000,10825.750000,42872800
2021-02-11,10821.780273,10881.169922,10813.000000,10852.910156,10852.910156,33699400
2021-02-12,10836.599609,10890.820313,10816.709961,10880.370117,10880.370117,31203400
2021-02-15,null,null,null,null,null,null
2021-02-16,10924.599609,10953.419922,10900.179688,10907.599609,10907.599609,40831000
2021-02-17,null,null,null,null,null,null
2021-02-18,10809.830078,10834.259766,10714.559570,10717.709961,10717.709961,51069500
2021-02-19,10744.370117,10773.769531,10704.750000,10704.750000,10704.750000,60375700
2021-02-22,10632.110352,10716.269531,10610.650391,10697.379883,10697.379883,46867500
2021-02-23,10702.059570,10729.740234,10529.030273,10609.030273,10609.030273,51072400
2021-02-24,10630.589844,10771.250000,10626.769531,10727.700195,10727.700195,59226200
2021-02-25,10745.200195,10746.089844,10656.650391,10658.870117,10658.870117,46972600
2021-02-26,10532.309570,10686.019531,10513.429688,10522.219727,10522.219727,64961800
2021-03-01,10659.259766,10713.410156,10606.080078,10706.589844,10706.589844,47871700
2021-03-02,10713.120117,10855.990234,10704.379883,10817.150391,10817.150391,55409100
2021-03-03,null,null,null,null,null,null
2021-03-04,10720.230469,10769.379883,10688.309570,10750.089844,10750.089844,54422700
2021-03-05,10657.879883,10691.530273,10607.790039,10607.790039,10607.790039,55107700
2021-03-08,10687.660156,10838.290039,10659.070313,10830.379883,10830.379883,55306400
2021-03-09,10775.070313,10857.969727,10746.709961,10857.969727,10857.969727,53954400
2021-03-10,10801.230469,10933.889648,10788.339844,10909.769531,10909.769531,46792000
2021-03-11,10894.839844,10917.740234,10859.500000,10883.230469,10883.230469,51944900
2021-03-12,10850.389648,10872.209961,10830.280273,10839.929688,10839.929688,49626500
2021-03-15,10858.500000,10905.190430,10842.830078,10867.330078,10867.330078,45830100
2021-03-16,10925.049805,10968.540039,10916.000000,10944.480469,10944.480469,485900
2021-03-17,10934.469727,10947.389648,10881.500000,10922.490234,10922.490234,508800
2021-03-18,10912.750000,10983.230469,10896.410156,10973.759766,10973.759766,68762600
2021-03-19,10915.469727,10975.900391,10891.669922,10967.370117,10967.370117,143857700
2021-03-22,10931.559570,11048.580078,10928.339844,11048.580078,11048.580078,51626500
2021-03-23,11030.889648,11118.330078,11016.209961,11098.660156,11098.660156,48422000
2021-03-24,11048.589844,11106.940430,11033.370117,11063.870117,11063.870117,43812200
2021-03-25,11026.650391,11102.780273,11017.320313,11098.809570,11098.809570,52085500
2021-03-26,11113.900391,11143.860352,11091.629883,11116.809570,11116.809570,46264000
2021-03-29,11127.740234,11132.000000,11058.690430,11089.599609,11089.599609,117373800
2021-03-30,11110.639648,11138.110352,11079.879883,11121.419922,11121.419922,79382900
2021-03-31,11114.889648,11123.259766,11047.019531,11047.370117,11047.370117,76397500
2021-04-01,11102.290039,11141.200195,11080.559570,11118.030273,11118.030273,53530400
2021-04-06,11170.599609,11213.790039,11142.669922,11182.950195,11182.950195,80579800
2021-04-07,11147.370117,11163.339844,11108.330078,11128.179688,11128.179688,53400300
2021-04-08,11129.139648,11206.879883,11128.669922,11206.879883,11206.879883,45600000
2021-04-09,11206.849609,11247.009766,11190.700195,11238.519531,11238.519531,59491200
2021-04-12,11220.769531,11238.379883,11166.320313,11181.349609,11181.349609,43543800
2021-04-13,11174.080078,11180.959961,11094.839844,11122.370117,11122.370117,49992700
2021-04-14,11135.690430,11182.330078,11121.870117,11156.209961,11156.209961,54605000
2021-04-15,11160.900391,11226.250000,11156.559570,11198.700195,11198.700195,51925500
2021-04-16,11198.580078,11262.969727,11169.009766,11262.969727,11262.969727,60213200
2021-04-19,11245.009766,11266.780273,11183.559570,11209.839844,11209.839844,47832700
2021-04-20,11203.080078,11216.349609,11065.870117,11078.980469,11078.980469,53953700
2021-04-21,11119.440430,11229.150391,11117.620117,11209.089844,11209.089844,57623700
2021-04-22,11214.230469,11254.910156,11197.540039,11224.900391,11224.900391,99097900
2021-04-23,11211.910156,11217.889648,11130.309570,11200.540039,11200.540039,60883900
2021-04-26,11194.400391,11201.799805,11131.190430,11162.089844,11162.089844,54299300
2021-04-27,11147.580078,11178.419922,11068.230469,11092.080078,11092.080078,61400400
2021-04-28,11106.820313,11126.690430,11070.719727,11103.459961,11103.459961,50802200
2021-04-29,11137.179688,11162.200195,11064.280273,11079.509766,11079.509766,49377400
2021-04-30,11103.990234,11123.349609,11022.339844,11022.339844,11022.339844,48384300
2021-05-03,11072.540039,11148.059570,11056.709961,11119.000000,11119.000000,34465500
2021-05-04,11123.440430,11144.830078,10959.780273,10970.929688,10970.929688,49994300
2021-05-05,null,null,null,null,null,null
2021-05-06,11129.849609,11139.629883,11062.690430,11111.099609,11111.099609,49963800
2021-05-07,11140.830078,11173.570313,11106.419922,11173.570313,11173.570313,47442300
2021-05-10,11157.759766,11159.080078,11086.980469,11123.669922,11123.669922,40932200
2021-05-11,null,null,null,null,null,null
2021-05-12,11014.330078,11069.240234,10981.799805,11033.900391,11033.900391,47616100
